id|title|address1|address2|town|postcode|website|lat|lng|
23|Crosfields School|Shinfield Road||Reading |RG2 9BL||51,422266|-0,948153
33|Kendrick Girls School|41 London Road||Reading|RG1 5BN||51,451521|-0,96588
34|Cotswold Sports Centre|Downs Way|Tilehurst|Reading|RG31 6SL||51,470649|-1,049425
35|The Emmbrook School|Emmbrook Road||Wokingham|RG41 1JP||51,421665|-0,851842
36|Trevelyan School|Wood Close||Windsor|SL4 3LB||51,46944|-0,614376
37|Fernhill School|Neville Duke Road||Farnborough|GU14 9BY||51,315621|-0,768575
38|The Hurst School|Brimpton Road|Baughurst|Tadley|RG26 5NL||51,357727|-1,173971
39|Academy Sport|Northumberland Ave|Whitley|Reading|RG2 8DF||51,427168|-0,960113
40|Highdown School|Surley Row|Emmer Green|Reading|RG4 8LR||51,481598|-0,974091
41|Loddon Valley Leisure Centre|Rushey Way|Earley|Reading|RG6 4GD||51,425306|-0,931363
42|Blessed Hugh Farringdon Catholic School|Fawley Road|Southcote|Reading|RG30 3EP||51,444692|-1,004384
43|Rivermead Leisure Centre|Richfield Avenue||Reading|RG1 8EQ||51,465573|-0,984616
44|Woodford Park Leisure Centre|Haddon Drive|Woodley|Reading|RG5 4LY||51,456864|-0,904655
45|Bracknell Leisure Centre|Bagshot Road||Bracknell|RG12 9SE||51,401903|-0,747544
46|The Holt School|Holt Lane||Wokingham|RG41 1EE||51,415962|-0,841285
47|Theale Green Recreation Centre|Church Street|Theale|Reading|RG7 5DA||51,437036|-1,086715
48|Wallingford School Sports Hall|St Georges Road||Wallingford|OX10 8JE||51,605396|-1,128582
49|Waingels College|Waingels Road|Woodley|Reading|RG5 4RF||51,464191|-0,888411
50|Chiltern Edge School|Reade's Lane||Reading|RG4 9LN||51,513447|-0,991191
51|Reading University Sports Centre (SportsPark)|8 Shinfield Road||Reading|RG2 7BW||51,442342|-0,953262
