id|title|address1|address2|town|postcode|website|lat|lng|
1|Windsor Leisure Centre|Clewer Mead|Stovell Road|Windsor|SL4 5JB|http://www.rbwm.gov.uk/web/wlc_index.htm|51,4854518000783|-0,620657801628113
2|Trevelyan School|Wood Close||Windsor|SL4 3LL|http://www.trevelyan.org.uk/|51,4698724130047|-0,616216063499451
3|Newlands School|Newlands Girls' School|Farm Road|Maidenhead|SL6 5JB|http://www.newlands.windsor-maidenhead.sch.uk/|51,5217451826066|-0,758472383022308
4|Bracknell Leisure Centre - Main Hall|Bagshot Road||Bracknell|RG12 9SE|http://www.bracknell.gov.uk/leisure/leis-leisure-sports-centres/leis-bracknell-sport-and-leisure-centre.htm|51,4012421415417|-0,747789144515991
5|Bracknell Leisure Centre - 3M Hall|Bagshot Road||Bracknell|RG12 9SE|http://www.bracknell.gov.uk/leisure/leis-leisure-sports-centres/leis-bracknell-sport-and-leisure-centre.htm|51,4018654527318|-0,748552232980728
6|The Matthew Arnold Sports Centre|Kingston Rd||Staines|TW18 1PF|http://www.matthew-arnold.surrey.sch.uk/|51,4256762701509|-0,488191545009613
7|Cox Green School Sports Centre|Highfield Lane||Maidenhead|SL6 3AX|http://www.coxgreen.com/|51,5085438004774|-0,757986903190613
8|Evreham Sports Centre|Swallow Street||Iver|SL0 0HS|http://www.southbucks.gov.uk/leisure__culture/sports/sports_facilities/evreham_sports_centre/default.asp|51,5275434675737|-0,522215366363525
9|Herschel Leisure Centre|Whitby Road||Slough|SL1 3BW|http://www.sloughleisure.com/herschel/index.html|51,5188970856963|-0,611192286014557
10|Crosfields School|Shinfield Road||Reading|RG2 9BL|http://www.crosfields.com/|51,4205951273341|-0,948665142059326
11|Magnet Leisure Centre|Holmanleaze||Maidenhead|SL6 8AW|http://www.rbwm.gov.uk/web/magnetlc_index.htm|51,5252664625566|-0,718597322702408
12|Woodford Park|Haddon Drive||Woodley|RG5 4LY|http://www.woodley.gov.uk/infopage.asp?infoid=443|51,4566910977103|-0,90487003326416
13|Esporta / VirginActive|Nine Mile Ride||Bracknell|RG12 7PB|http://www.virginactive.co.uk/clubs/royal-county-berkshire-health-and-racquets-club|51,389519|-0,740579
14|Loudwater Boys Club|Birfield Road||Loudwater|||51,606526|-0,699584
15|East Berks College|Langley Campus|Station Road|Langley|SL3 8BY|http://www.eastberks.ac.uk/about-us/langley-college.html|51,505299|-0,544424
